Namespace(exp_name='part_seg_globalts', model='GTNet', dataset='shapenetpart', class_choice=None, batch_size=13, test_batch_size=13, epochs=300, use_sgd=True, lr=0.001, momentum=0.9, scheduler='cos', no_cuda=False, seed=100, eval=False, num_points=2048, dropout=0.5, emb_dims=512, k=20, ptv3_patch=256, ptv3_heads=4, ptv3_morton_bits=10, no_ptv3_shift=False, model_path='', visu='all', visu_format='ply')
Using GPU : 0 from 1 devices
Train 1, loss: 1.150976, train acc: 0.863326, train avg acc: 0.498491, train iou: 0.710363
Test 1, loss: 1.021372, test acc: 0.894125, test avg acc: 0.626665, test iou: 0.764733
Train 2, loss: 0.979447, train acc: 0.912817, train avg acc: 0.643759, train iou: 0.770650
Test 2, loss: 0.944339, test acc: 0.918427, test avg acc: 0.680662, test iou: 0.784114
Train 3, loss: 0.954396, train acc: 0.919049, train avg acc: 0.671622, train iou: 0.785537
Test 3, loss: 0.939751, test acc: 0.914833, test avg acc: 0.679255, test iou: 0.775378
Train 4, loss: 0.939664, train acc: 0.922783, train avg acc: 0.685074, train iou: 0.792752
Test 4, loss: 0.928480, test acc: 0.915331, test avg acc: 0.691355, test iou: 0.799523
Train 5, loss: 0.932648, train acc: 0.924672, train avg acc: 0.697172, train iou: 0.798531
Test 5, loss: 0.917649, test acc: 0.922848, test avg acc: 0.722148, test iou: 0.799915
Train 6, loss: 0.925656, train acc: 0.926515, train avg acc: 0.708868, train iou: 0.802303
Test 6, loss: 0.950918, test acc: 0.909371, test avg acc: 0.683377, test iou: 0.773571
Train 7, loss: 0.920825, train acc: 0.927907, train avg acc: 0.715457, train iou: 0.805178
Test 7, loss: 0.918637, test acc: 0.923087, test avg acc: 0.729513, test iou: 0.802259
Train 8, loss: 0.918871, train acc: 0.928027, train avg acc: 0.718794, train iou: 0.806886
Test 8, loss: 0.928338, test acc: 0.915519, test avg acc: 0.708122, test iou: 0.789664
Train 9, loss: 0.917001, train acc: 0.928481, train avg acc: 0.723542, train iou: 0.809340
Test 9, loss: 0.912037, test acc: 0.921279, test avg acc: 0.743639, test iou: 0.804855
Train 10, loss: 0.913257, train acc: 0.929926, train avg acc: 0.732266, train iou: 0.810768
Test 10, loss: 0.899410, test acc: 0.930793, test avg acc: 0.755776, test iou: 0.818521
Train 11, loss: 0.912086, train acc: 0.929621, train avg acc: 0.733419, train iou: 0.811817
Test 11, loss: 0.910458, test acc: 0.921623, test avg acc: 0.738722, test iou: 0.800703
Train 12, loss: 0.911643, train acc: 0.929577, train avg acc: 0.731731, train iou: 0.811354
Test 12, loss: 0.892337, test acc: 0.929986, test avg acc: 0.759549, test iou: 0.816433
Train 13, loss: 0.909882, train acc: 0.930417, train avg acc: 0.740298, train iou: 0.813738
Test 13, loss: 0.897494, test acc: 0.928537, test avg acc: 0.729867, test iou: 0.809022
Train 14, loss: 0.908585, train acc: 0.930864, train avg acc: 0.737276, train iou: 0.814000
Test 14, loss: 0.894727, test acc: 0.930049, test avg acc: 0.783669, test iou: 0.816435
Train 15, loss: 0.908901, train acc: 0.930838, train avg acc: 0.742324, train iou: 0.814005
Test 15, loss: 0.914503, test acc: 0.920841, test avg acc: 0.746177, test iou: 0.810527
Train 16, loss: 0.906464, train acc: 0.931365, train avg acc: 0.744177, train iou: 0.815535
Test 16, loss: 0.909444, test acc: 0.923757, test avg acc: 0.746313, test iou: 0.800706
Train 17, loss: 0.906123, train acc: 0.931514, train avg acc: 0.747979, train iou: 0.815761
Test 17, loss: 0.904412, test acc: 0.927353, test avg acc: 0.729653, test iou: 0.814396
Train 18, loss: 0.905528, train acc: 0.931810, train avg acc: 0.745212, train iou: 0.816473
Test 18, loss: 0.906513, test acc: 0.924600, test avg acc: 0.755676, test iou: 0.815181
Train 19, loss: 0.905242, train acc: 0.931459, train avg acc: 0.744866, train iou: 0.816178
Test 19, loss: 0.904748, test acc: 0.925901, test avg acc: 0.734283, test iou: 0.814784
Train 20, loss: 0.902670, train acc: 0.932537, train avg acc: 0.750082, train iou: 0.818604
Test 20, loss: 0.892371, test acc: 0.928990, test avg acc: 0.778770, test iou: 0.820423
Train 21, loss: 0.902651, train acc: 0.932397, train avg acc: 0.750900, train iou: 0.818165
Test 21, loss: 0.901640, test acc: 0.926435, test avg acc: 0.759377, test iou: 0.807984
Train 22, loss: 0.903358, train acc: 0.932387, train avg acc: 0.753640, train iou: 0.817522
Test 22, loss: 0.892703, test acc: 0.928615, test avg acc: 0.773445, test iou: 0.820504
Train 23, loss: 0.901229, train acc: 0.932573, train avg acc: 0.756817, train iou: 0.819015
Test 23, loss: 0.907138, test acc: 0.926258, test avg acc: 0.759102, test iou: 0.812748
