Namespace(exp_name='new_lrgm', model='GTNet', dataset='modelnet40', batch_size=16, test_batch_size=8, epochs=250, use_sgd=True, lr=0.0001, momentum=0.9, scheduler='step', no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='', test_sampler='random_fixed')
Using GPU : 0 from 1 devices
Train 1, loss: 2.005023, train acc: 0.581911, train avg acc: 0.412512
Test 1, loss: 1.500917, test acc: 0.745543, test avg acc: 0.631157
Train 2, loss: 1.518224, train acc: 0.743801, train avg acc: 0.616439
Test 2, loss: 1.323608, test acc: 0.811994, test avg acc: 0.758017
Train 3, loss: 1.384390, train acc: 0.787398, train avg acc: 0.682507
Test 3, loss: 1.241740, test acc: 0.837115, test avg acc: 0.767977
Train 4, loss: 1.290512, train acc: 0.828354, train avg acc: 0.739965
Test 4, loss: 1.156227, test acc: 0.860616, test avg acc: 0.804500
Train 5, loss: 1.248382, train acc: 0.838821, train avg acc: 0.760061
Test 5, loss: 1.130999, test acc: 0.863047, test avg acc: 0.817506
Train 6, loss: 1.209430, train acc: 0.854370, train avg acc: 0.779431
Test 6, loss: 1.096282, test acc: 0.884117, test avg acc: 0.823965
Train 7, loss: 1.186232, train acc: 0.861077, train avg acc: 0.791914
Test 7, loss: 1.083684, test acc: 0.885332, test avg acc: 0.833919
Train 8, loss: 1.156902, train acc: 0.870935, train avg acc: 0.804509
Test 8, loss: 1.084485, test acc: 0.880470, test avg acc: 0.821930
Train 9, loss: 1.137089, train acc: 0.882622, train avg acc: 0.822677
Test 9, loss: 1.064134, test acc: 0.896272, test avg acc: 0.850669
Train 10, loss: 1.119508, train acc: 0.887500, train avg acc: 0.830013
Test 10, loss: 1.057076, test acc: 0.893031, test avg acc: 0.854180
Train 11, loss: 1.103721, train acc: 0.892073, train avg acc: 0.840000
Test 11, loss: 1.038832, test acc: 0.898703, test avg acc: 0.850006
Train 12, loss: 1.083876, train acc: 0.898780, train avg acc: 0.845538
Test 12, loss: 1.070147, test acc: 0.882901, test avg acc: 0.846000
Train 13, loss: 1.084980, train acc: 0.894715, train avg acc: 0.844590
Test 13, loss: 1.033958, test acc: 0.898703, test avg acc: 0.858436
Train 14, loss: 1.068604, train acc: 0.902947, train avg acc: 0.854200
Test 14, loss: 1.014425, test acc: 0.907212, test avg acc: 0.863459
Train 15, loss: 1.062689, train acc: 0.902744, train avg acc: 0.853806
Test 15, loss: 1.012779, test acc: 0.907618, test avg acc: 0.862628
Train 16, loss: 1.047163, train acc: 0.910569, train avg acc: 0.867561
Test 16, loss: 1.026093, test acc: 0.896272, test avg acc: 0.850541
Train 17, loss: 1.043513, train acc: 0.913008, train avg acc: 0.869758
Test 17, loss: 1.016488, test acc: 0.900729, test avg acc: 0.869424
Train 18, loss: 1.039403, train acc: 0.915549, train avg acc: 0.872726
Test 18, loss: 1.006009, test acc: 0.902350, test avg acc: 0.863262
Train 19, loss: 1.025171, train acc: 0.920833, train avg acc: 0.883638
Test 19, loss: 0.998823, test acc: 0.908023, test avg acc: 0.871465
Train 20, loss: 1.024086, train acc: 0.918293, train avg acc: 0.878295
Test 20, loss: 1.013510, test acc: 0.899514, test avg acc: 0.875215
Train 21, loss: 0.989855, train acc: 0.931911, train avg acc: 0.897782
Test 21, loss: 0.974385, test acc: 0.918558, test avg acc: 0.882326
Train 22, loss: 0.981213, train acc: 0.933333, train avg acc: 0.898342
Test 22, loss: 0.976641, test acc: 0.915316, test avg acc: 0.881703
Train 23, loss: 0.972452, train acc: 0.935163, train avg acc: 0.901759
Test 23, loss: 0.964917, test acc: 0.918558, test avg acc: 0.883378
Train 24, loss: 0.971052, train acc: 0.936890, train avg acc: 0.904349
Test 24, loss: 0.974896, test acc: 0.909643, test avg acc: 0.868953
Train 25, loss: 0.964132, train acc: 0.936789, train avg acc: 0.906202
Test 25, loss: 0.958879, test acc: 0.917342, test avg acc: 0.880791
Train 26, loss: 0.957559, train acc: 0.939939, train avg acc: 0.909075
Test 26, loss: 0.983148, test acc: 0.912075, test avg acc: 0.885244
Train 27, loss: 0.955240, train acc: 0.940854, train avg acc: 0.910190
Test 27, loss: 0.964327, test acc: 0.914911, test avg acc: 0.882250
Train 28, loss: 0.951961, train acc: 0.943191, train avg acc: 0.914241
Test 28, loss: 0.969627, test acc: 0.914911, test avg acc: 0.881453
Train 29, loss: 0.952530, train acc: 0.942175, train avg acc: 0.912844
Test 29, loss: 0.971840, test acc: 0.917342, test avg acc: 0.882709
Train 30, loss: 0.949069, train acc: 0.943394, train avg acc: 0.914199
Test 30, loss: 0.959484, test acc: 0.919368, test avg acc: 0.890163
Train 31, loss: 0.947057, train acc: 0.942683, train avg acc: 0.916587
Test 31, loss: 0.959501, test acc: 0.921394, test avg acc: 0.893041
